snapshot_date,product_id,store_id,qty_on_hand,qty_reserved
2025-07-01,1,10,90,18
2025-07-01,2,1,144,6
2025-07-01,2,5,44,15
2025-07-01,2,6,14,7
2025-07-01,3,1,150,4
2025-07-01,3,7,77,10
2025-07-01,4,1,44,17
2025-07-01,4,4,75,4
2025-07-01,5,5,89,8
2025-07-01,5,10,96,11
2025-07-01,6,3,57,5
2025-07-01,6,6,43,12
2025-07-01,6,7,19,17
2025-07-01,7,3,25,10
2025-07-01,7,5,138,8
2025-07-01,7,6,76,7
2025-07-01,7,7,100,18
2025-07-01,7,8,125,4
2025-07-01,8,4,101,15
2025-07-01,8,6,99,5
2025-07-01,8,7,97,11
2025-07-01,8,8,11,8
2025-07-01,9,1,38,3
2025-07-01,9,5,137,15
2025-07-01,9,8,132,18
2025-07-01,9,9,37,3
2025-07-01,10,9,3,19
2025-07-01,10,10,107,3
2025-07-01,11,2,25,3
2025-07-01,12,2,121,8
2025-07-01,12,7,76,14
2025-07-01,13,1,104,15
2025-07-01,13,6,129,12
2025-07-01,13,7,134,18
2025-07-01,14,6,121,18
2025-07-01,14,9,23,9
2025-07-01,14,10,12,5
2025-07-01,15,4,52,8
2025-07-01,15,10,78,20
2025-07-01,16,2,55,14
2025-07-01,16,6,72,9
2025-07-01,16,7,123,2
2025-07-01,16,9,70,8
2025-07-01,16,10,76,6
2025-07-01,17,4,81,4
2025-07-01,17,6,107,12
2025-07-01,17,7,9,18
2025-07-01,17,9,56,17
2025-07-01,18,6,90,7
2025-07-01,18,7,78,13
2025-07-01,19,1,149,18
2025-07-01,19,4,97,16
2025-07-01,19,5,13,4
2025-07-01,19,8,46,2
2025-07-01,19,9,45,10
2025-07-01,20,4,109,12
2025-07-01,20,6,136,6
2025-07-01,20,9,4,0
2025-07-01,21,3,42,2
2025-07-01,22,5,93,20
2025-07-01,22,7,65,17
2025-07-01,22,9,5,1
2025-07-01,23,4,25,16
2025-07-01,23,9,51,8
2025-07-01,24,3,140,15
2025-07-01,24,5,123,10
2025-07-01,24,6,3,2
2025-07-01,24,9,38,2
2025-07-01,25,1,25,8
2025-07-01,25,3,12,3
2025-07-01,25,8,24,1
2025-07-01,25,9,35,20
2025-07-01,25,10,91,14
2025-07-01,27,7,134,18
2025-07-01,27,9,24,13
2025-07-01,28,8,125,10
2025-07-01,28,9,71,1
2025-07-01,29,2,146,14
2025-07-01,29,6,140,0
2025-07-01,30,1,116,10
2025-07-01,30,2,13,7
2025-07-01,30,5,29,3
2025-07-01,30,10,133,11
2025-09-01,1,3,50,6
2025-09-01,1,5,48,10
2025-09-01,1,6,106,1
2025-09-01,1,9,115,14
2025-09-01,2,2,12,17
2025-09-01,3,1,34,4
2025-09-01,3,4,80,17
2025-09-01,3,8,45,16
2025-09-01,4,1,149,18
2025-09-01,4,3,136,9
2025-09-01,4,5,3,16
2025-09-01,4,7,14,6
2025-09-01,4,9,37,1
2025-09-01,5,2,115,3
2025-09-01,5,3,143,7
2025-09-01,5,7,80,17
2025-09-01,5,8,64,6
2025-09-01,6,3,45,2
2025-09-01,8,8,132,11
2025-09-01,8,9,130,14
2025-09-01,9,3,137,17
2025-09-01,9,7,111,20
2025-09-01,9,10,84,1
2025-09-01,10,3,147,7
2025-09-01,10,7,30,17
2025-09-01,10,8,16,18
2025-09-01,12,2,88,6
2025-09-01,13,3,148,15
2025-09-01,14,2,80,7
2025-09-01,14,4,111,8
2025-09-01,16,2,61,19
2025-09-01,16,6,37,15
2025-09-01,16,8,124,7
2025-09-01,16,10,52,16
2025-09-01,18,1,57,16
2025-09-01,18,2,88,15
2025-09-01,18,6,19,16
2025-09-01,18,8,92,19
2025-09-01,19,2,41,20
2025-09-01,19,9,103,19
2025-09-01,21,1,121,19
2025-09-01,21,5,0,20
2025-09-01,21,8,109,7
2025-09-01,22,7,30,16
