item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,40,2,54.99,16.5
2,1,2,2,749.99,150.0
3,1,32,1,199.99,60.0
4,1,35,2,19.99,3.0
5,2,5,2,549.99,0.0
6,2,4,2,699.99,0.0
7,2,11,2,49.99,0.0
8,2,29,1,169.99,0.0
9,3,39,3,39.99,6.0
10,3,10,3,179.99,27.0
11,3,21,2,449.99,54.0
12,4,33,2,149.99,18.0
13,4,36,2,229.99,23.0
14,4,7,2,39.99,8.0
15,5,10,1,179.99,0.0
16,5,7,2,39.99,0.0
17,6,40,2,54.99,13.75
18,6,27,3,29.99,4.5
19,6,16,1,74.99,9.0
20,6,11,2,49.99,12.5
21,7,32,2,199.99,50.0
22,7,20,2,349.99,42.0
23,7,2,1,749.99,187.5
24,7,6,2,499.99,50.0
25,8,19,2,159.99,40.0
26,9,19,2,159.99,19.2
27,9,35,2,19.99,6.0
28,9,1,2,999.99,200.0
29,9,7,2,39.99,4.0
30,10,4,2,699.99,175.0
31,10,37,2,219.99,22.0
32,10,36,2,229.99,57.5
33,10,13,2,64.99,16.25
34,11,40,1,54.99,11.0
35,11,8,2,49.99,7.5
36,11,9,3,109.99,16.5
37,12,13,3,64.99,13.0
38,12,39,3,39.99,4.0
39,13,3,1,1399.99,420.0
40,14,31,1,189.99,47.5
41,14,34,3,329.99,39.6
42,14,30,2,14.99,3.75
43,15,11,3,49.99,7.5
44,15,26,3,44.99,6.75
45,15,40,3,54.99,13.75
46,16,37,2,219.99,0.0
47,16,20,2,349.99,0.0
48,16,31,3,189.99,0.0
49,16,2,1,749.99,0.0
50,17,38,2,49.99,0.0
51,17,20,2,349.99,0.0
52,17,2,3,749.99,0.0
53,17,39,3,39.99,0.0
54,18,4,2,699.99,84.0
55,18,38,3,49.99,15.0
56,19,10,3,179.99,18.0
57,19,16,1,74.99,7.5
58,19,3,2,1399.99,210.0
59,19,37,2,219.99,26.4
60,20,14,2,79.99,0.0
61,20,27,3,29.99,0.0
62,20,33,3,149.99,0.0
63,20,40,1,54.99,0.0
64,21,34,3,329.99,0.0
65,21,14,2,79.99,0.0
